district	state	districtno	incumbent	party	gopcode	support	oppose	strongsupport	strongoppose	clinton	trump	id
NY-04	NY	04	Rep. Rice	D	0	31	53	10	41	53.4	43.8	3604
NY-03	NY	03	Rep. Suozzi	D	0	32	52	10	40	51.6	45.5	3603
NY-18	NY	18	Rep. Maloney	D	0	34	49	11	37	47.1	49	3618
OH-11	OH	11	Rep. Fudge	D	0	17	72	5	59	80.5	17	3911
OH-03	OH	03	Rep. Beatty	D	0	23	63	7	51	67	28.6	3903
OH-09	OH	09	Rep. Kaptur	D	0	28	58	9	45	58.7	36.5	3909
OH-13	OH	13	Rep. Ryan	D	0	32	52	10	40	51.1	44.6	3913
OR-03	OR	03	Rep. Blumenauer	D	0	20	66	6	54	70.7	22.5	4103
OR-01	OR	01	Rep. Bonamici	D	0	27	58	8	45	57.3	34.5	4101
OR-05	OR	05	Rep. Schrader	D	0	32	51	10	39	48.3	44.1	4105
OR-04	OR	04	Rep. DeFazio	D	0	33	50	11	38	46.1	46	4104
PA-02	PA	02	Rep. Evans	D	0	11	78	3	65	90.4	7.6	4202
PA-01	PA	01	Rep. Brady	D	0	17	71	5	58	79.5	18.2	4201
PA-14	PA	14	Rep. Doyle	D	0	24	62	7	50	66	30.5	4214
PA-13	PA	13	Rep. Boyle	D	0	25	61	8	49	65.3	31.7	4213
PA-17	PA	17	Rep. Cartwright	D	0	36	47	12	35	43.3	53.4	4217
RI-01	RI	01	Rep. Cicilline	D	0	27	59	8	46	60.5	34.9	4401
RI-02	RI	02	Rep. Langevin	D	0	32	52	10	40	51.1	44	4402
SC-06	SC	06	Rep. Clyburn	D	0	24	62	7	50	66.8	30.3	4506
TN-09	TN	09	Rep. Cohen	D	0	18	70	5	57	77.5	19.8	4709
TN-05	TN	05	Rep. Cooper	D	0	29	56	9	44	56.6	38.2	4705
TX-09	TX	09	Rep. Green	D	0	17	71	5	58	79.3	18	4809
TX-30	TX	30	Rep. Johnson	D	0	17	71	5	58	79.1	18.3	4830
TX-18	TX	18	Rep. Jackson-Lee	D	0	18	69	5	57	76.5	20	4818
TX-33	TX	33	Rep. Veasey	D	0	20	67	6	54	72.9	23.7	4833
TX-29	TX	29	Rep. Green	D	0	21	66	6	53	71.1	25.4	4829
TX-16	TX	16	Rep. O'Rourke	D	0	23	64	7	51	67.9	27.2	4816
TX-35	TX	35	Rep. Doggett	D	0	24	61	7	49	64.1	30.5	4835
TX-20	TX	20	Rep. Castro	D	0	26	59	8	47	61	34.3	4820
TX-28	TX	28	Rep. Cuellar	D	0	28	57	9	44	58.3	38.5	4828
TX-34	TX	34	Rep. Vela	D	0	28	57	9	45	59.2	37.7	4834
TX-15	TX	15	Rep. Gonzalez	D	0	29	56	9	43	56.7	40	4815
VA-08	VA	08	Rep. Beyer	D	0	19	68	6	55	73.5	20.9	5108
VA-11	VA	11	Rep. Connolly	D	0	23	63	7	51	66.9	27.5	5111
VA-03	VA	03	Rep. Scott	D	0	25	61	8	48	63.6	31.9	5103
VA-04	VA	04	Rep. McEachin	D	0	28	57	9	45	58.7	37.1	5104
VT-00	VT	00	Rep. Welch	D	0	26	59	8	46	56.7	30.3	5000
WA-07	WA	07	Rep. Jayapal	D	0	15	74	4	61	82.1	12.2	5307
WA-09	WA	09	Rep. Smith	D	0	21	66	6	53	70.5	23.3	5309
WA-02	WA	02	Rep. Larsen	D	0	27	57	8	45	56.9	34.8	5302
WA-01	WA	01	Rep. DelBene	D	0	29	55	9	43	54.1	37.8	5301
WA-06	WA	06	Rep. Kilmer	D	0	30	54	9	42	51.8	39.5	5306
WA-10	WA	10	Rep. Heck	D	0	30	54	10	41	51.3	39.9	5310
WI-04	WI	04	Rep. Moore	D	0	20	68	6	55	74	21.8	5504
WI-02	WI	02	Rep. Pocan	D	0	24	62	7	50	65.8	29	5502
WI-03	WI	03	Rep. Kind	D	0	35	48	11	36	44.8	49.3	5503
AK-00	AK	00	Rep. Young	R	1	37	12			37.6	52.8	0200
AL-01	AL	01	Rep. Byrne	R	1	42	40	14	28	34.1	63.5	0101
AL-02	AL	02	Rep. Roby	R	1	42	39	14	27	33	64.9	0102
AL-03	AL	03	Rep. Rogers	R	1	43	39	14	27	32.3	65.3	0103
AL-05	AL	05	Rep. Brooks	R	1	43	39	14	27	31.3	64.7	0105
AL-06	AL	06	Rep. Palmer	R	1	46	35	15	23	26.1	70.8	0106
AL-04	AL	04	Rep. Aderholt	R	1	51	29	17	17	17.4	80.4	0104
AR-02	AR	02	Rep. Hill	R	1	36	46	12	34	41.7	52.4	0502
AR-03	AR	03	Rep. Womack	R	1	42	39	14	27	30.5	61.9	0503
AR-01	AR	01	Rep. Crawford	R	1	43	38	14	26	30.2	65	0501
AR-04	AR	04	Rep. Westerman	R	1	43	39	14	27	31.3	64.2	0504
AZ-02	AZ	02	Rep. McSally	R	1	32	52	10	39	49.6	44.7	0402
AZ-06	AZ	06	Rep. Schweikert	R	1	36	47	12	35	42.4	52.4	0406
AZ-05	AZ	05	Rep. Biggs	R	1	39	43	13	31	36.5	57.6	0405
AZ-08	AZ	08	Rep. Franks	R	1	39	43	13	31	37	58.1	0408
AZ-04	AZ	04	Rep. Gosar	R	1	44	36	15	25	27.5	67.7	0404
CA-21	CA	21	Rep. Valadao	R	1	29	55	9	43	55.2	39.7	0621
CA-39	CA	39	Rep. Royce	R	1	31	53	10	41	51.5	42.9	0639
CA-49	CA	49	Rep. Issa	R	1	31	52	10	40	50.7	43.2	0649
CA-25	CA	25	Rep. Knight	R	1	32	52	10	40	50.3	43.6	0625
CA-45	CA	45	Rep. Walters	R	1	32	52	10	40	49.8	44.4	0645
CA-10	CA	10	Rep. Denham	R	1	33	51	10	39	48.5	45.5	0610
CA-48	CA	48	Rep. Rohrabacher	R	1	33	51	11	38	47.9	46.2	0648
CA-22	CA	22	Rep. Nunes	R	1	36	47	12	35	42.6	52.1	0622
CA-04	CA	04	Rep. McClintock	R	1	37	45	12	33	39.3	54	0604
CA-42	CA	42	Rep. Calvert	R	1	37	46	12	34	41.4	53.4	0642
CA-08	CA	08	Rep. Cook	R	1	38	45	12	33	39.6	54.7	0608
CA-50	CA	50	Rep. Hunter	R	1	38	45	12	33	39.6	54.6	0650
CA-01	CA	01	Rep. LaMalfa	R	1	39	43	13	31	36.5	56.2	0601
CA-23	CA	23	Rep. McCarthy	R	1	39	42	13	31	36.1	58.1	0623
CO-06	CO	06	Rep. Coffman	R	1	31	53	10	41	50.2	41.3	0806
CO-03	CO	03	Rep. Tipton	R	1	37	46	12	34	40	52	0803
CO-04	CO	04	Rep. Buck	R	1	40	42	13	30	34.3	57.4	0804
CO-05	CO	05	Rep. Lamborn	R	1	40	42	13	30	33.2	57.2	0805
FL-27	FL	27	Rep. Ros-Lehtinen	R	1	28	57	9	44	58.6	38.9	1227
FL-26	FL	26	Rep. Curbelo	R	1	29	55	9	43	56.7	40.6	1226
FL-25	FL	25	Rep. Diaz-Balart	R	1	34	49	11	37	47.9	49.6	1225
FL-15	FL	15	Rep. Ross	R	1	36	47	12	35	43.1	53.1	1215
FL-18	FL	18	Rep. Mast	R	1	36	47	12	35	44.1	53.3	1218
FL-16	FL	16	Rep. Buchanan	R	1	37	46	12	34	43	53.7	1216
FL-03	FL	03	Rep. Yoho	R	1	38	45	12	33	40.2	56.2	1203
FL-06	FL	06	Rep. DeSantis	R	1	38	44	13	32	39.9	56.9	1206
FL-08	FL	08	Rep. Posey	R	1	39	43	13	31	37.7	58.4	1208
FL-12	FL	12	Rep. Bilirakis	R	1	39	44	13	32	38.8	57.4	1212
