location	population	id
1119072 Daerim 3(sam)-dong	6247	1119072
1119073 Yeongdeungpobon-dong	4087	1119073
1119074 Yeongdeungpo-dong	634	1119074
1119075 Dorim-dong	4484	1119075
1119076 Mullae-dong	309	1119076
11200 Dongjak-gu	14925	11200
1120052 Noryangjin 2(i)-dong	1496	1120052
1120053 Sangdo 1(il)-dong	1397	1120053
1120054 Sangdo 2(i)-dong	491	1120054
1120055 Sangdo 3(sam)-dong	559	1120055
1120056 Sangdo 4(sa)-dong	549	1120056
1120063 Sadang 1(il)-dong	1055	1120063
1120065 Sadang 3(sam)-dong	448	1120065
1120066 Sadang 4(sa)-dong	247	1120066
1120067 Sadang 5(o)-dong	205	1120067
1120068 Daebang-dong	613	1120068
1120069 Sindaebang 1(il)-dong	3966	1120069
1120070 Sindaebang 2(i)-dong	519	1120070
1120071 Heukseok-dong	2086	1120071
1120072 Noryangjin 1(il)-dong	455	1120072
1120073 Sadang 2(i)-dong	839	1120073
11210 Gwanak-gu	24022	11210
1121052 Boramae-dong	795	1121052
1121054 Cheongnim-dong	190	1121054
1121057 Haengun-dong	740	1121057
1121058 Nagseongdae-dong	1918	1121058
1121061 Jungang-dong	754	1121061
1121062 Inheon-dong	505	1121062
1121063 Namhyeon-dong	374	1121063
1121064 Sewon-dong	1044	1121064
1121065 Sinwon-dong	1996	1121065
1121066 Serim-dong	786	1121066
1121068 Sinsa-dong	4326	1121068
1121069 Sillim-dong	971	1121069
1121071 Nanhyang-dong	162	1121071
1121072 Jowon-dong	3329	1121072
1121073 Daehak-dong	771	1121073
1121078 Euncheon-dong	1060	1121078
1121079 Seonghyeon-dong	315	1121079
1121080 Cheongnyong-dong	2259	1121080
1121081 Nangok-dong	618	1121081
1121082 Samseong-dong	294	1121082
1121083 Miseong-dong	815	1121083
11220 Seocho-gu	7109	11220
1122051 Seocho 1(il)-dong	409	1122051
1122052 Seocho 2(i)-dong	488	1122052
1122053 Seocho 3(sam)-dong	610	1122053
1122054 Seocho 4(sa)-dong	467	1122054
1122055 Jamwon-dong	500	1122055
1122056 Banpobon-dong	104	1122056
1122057 Banpo 1(il)-dong	595	1122057
1122058 Banpo 2(i)-dong	192	1122058
1122059 Banpo 3(sam)-dong	169	1122059
1122060 Banpo 4(sa)-dong	634	1122060
1122061 Bangbaebon-dong	362	1122061
1122062 Bangbae 1(il)-dong	264	1122062
1122063 Bangbae 2(i)-dong	393	1122063
1122064 Bangbae 3(sam)-dong	319	1122064
1122065 Bangbae 4(sa)-dong	470	1122065
1122066 Yangjae 1(il)-dong	621	1122066
1122067 Yangjae 2(i)-dong	347	1122067
1122068 Naegok-dong	165	1122068
11230 Gangnam-gu	8627	11230
1123051 Sinsa-dong	439	1123051
1123052 Nonhyeon 1(il)-dong	684	1123052
1123053 Nonhyeon 2(i)-dong	499	1123053
1123058 Samseong 1(il)-dong	410	1123058
1123059 Samseong 2(i)-dong	462	1123059
1123060 Daechi 1(il)-dong	122	1123060
1123063 Daechi 4(sa)-dong	456	1123063
1123064 Yeoksam 1(il)-dong	1146	1123064
1123065 Yeoksam 2(i)-dong	522	1123065
1123066 Dogok 1(il)-dong	253	1123066
1123067 Dogok 2(i)-dong	459	1123067
1123068 Gaepo 1(il)-dong	141	1123068
1123071 Gaepo 4(sa)-dong	263	1123071
1123072 Irwonbon-dong	156	1123072
1123073 Irwon 1(il)-dong	232	1123073
1123074 Irwon 2(i)-dong	130	1123074
1123075 Suseo-dong	169	1123075
1123076 Segok-dong	267	1123076
1123077 Apgujeong-dong	618	1123077
1123078 Cheongdam-dong	630	1123078
1123079 Daechi 2(i)-dong	434	1123079
1123080 Gaepo 2(i)-dong	135	1123080
11240 Songpa-gu	9746	11240
1124051 Pungnap 1(il)-dong	1247	1124051
1124052 Pungnap 2(i)-dong	269	1124052
1124053 Geoyeo 1(il)-dong	130	1124053
1124054 Geoyeo 2(i)-dong	214	1124054
1124055 Macheon 1(il)-dong	297	1124055
1124056 Macheon 2(i)-dong	289	1124056
1124057 Bangi 1(il)-dong	130	1124057
1124058 Bangi 2(i)-dong	569	1124058
1124059 Oryun-dong	98	1124059
1124060 Ogeum-dong	304	1124060
1124061 Songpa 1(il)-dong	540	1124061
1124062 Songpa 2(i)-dong	340	1124062
1124063 Seokchon-dong	1010	1124063
1124064 Samjeon-dong	547	1124064
1124065 Garakbon-dong	534	1124065
1124066 Garak 1(il)-dong	7	1124066
1124067 Garak 2(i)-dong	346	1124067
1124068 Munjeong 1(il)-dong	231	1124068
1124069 Munjeong 2(i)-dong	221	1124069
1124071 Jamsilbon-dong	960	1124071
1124075 Jamsil 4(sa)-dong	216	1124075
1124077 Jamsil 6(yuk)-dong	202	1124077
1124078 Jamsil 7(chil)-dong	118	1124078
1124079 Jamsil 2(i)-dong	246	1124079
1124080 Jamsil 3(sam)-dong	381	1124080
1124081 Jangji-dong	271	1124081
1124082 Wirye-dong	29	1124082
11250 Gangdong-gu	6184	11250
1125051 Gangil-dong	174	1125051
1125052 Sangil-dong	180	1125052
1125053 Myeongil 1(il)-dong	108	1125053
1125054 Myeongil 2(i)-dong	55	1125054
1125055 Godeok 1(il)-dong	116	1125055
1125056 Godeok 2(i)-dong	109	1125056
1125058 Amsa 2(i)-dong	112	1125058
1125059 Amsa 3(sam)-dong	75	1125059
1125061 Cheonho 1(il)-dong	372	1125061
1125063 Cheonho 3(sam)-dong	813	1125063
1125065 Seongnae 1(il)-dong	160	1125065
1125066 Seongnae 2(i)-dong	1109	1125066
1125067 Seongnae 3(sam)-dong	325	1125067
1125070 Dunchon 1(il)-dong	61	1125070
1125071 Dunchon 2(i)-dong	234	1125071
1125072 Amsa 1(il)-dong	517	1125072
1125073 Cheonho 2(i)-dong	1196	1125073
1125074 Gil-dong	468	1125074
21 Busan	44070	21
21004 Total for eups	2062	21004
21005 Total for myeons	265	21005
21003 Total for dongs	41743	21003
21010 Jung-gu	1649	21010
2101051 Jungang-dong	230	2101051
2101052 Donggwang-dong	312	2101052
2101053 Daecheong-dong	79	2101053
2101054 Bosu-dong	89	2101054
2101056 Bupyeong-dong	292	2101056
2101057 Gwangbok-dong	44	2101057
2101058 Nampo-dong	270	2101058
2101059 Yeongju 1(il)-dong	270	2101059
2101060 Yeongju 2(i)-dong	63	2101060
21020 Seo-gu	1504	21020
2102051 Dongdaesin 1(il)-dong	20	2102051
2102052 Dongdaesin 2(i)-dong	57	2102052
2102053 Dongdaesin 3(sam)-dong	53	2102053
2102054 Seodaesin 1(il)-dong	70	2102054
2102056 Seodaesin 3(sam)-dong	40	2102056
2102057 Seodaesin 4(sa)-dong	22	2102057
2102059 Bumin-dong	69	2102059
2102061 Ami-dong	44	2102061
2102063 Chojang-dong	35	2102063
2102064 Chungmu-dong	337	2102064
2102065 Nambumin 1(il)-dong	311	2102065
2102068 Amnam-dong	324	2102068
2102069 Nambumin 2(i)-dong	122	2102069
21030 Dong-gu	1648	21030
2103051 Choryang 1(il)-dong	614	2103051
2103052 Choryang 2(i)-dong	405	2103052
2103053 Choryang 3(sam)-dong	182	2103053
2103055 Choryang 6(yuk)-dong	58	2103055
2103056 Sujeong 1(il)-dong	38	2103056
2103057 Sujeong 2(i)-dong	54	2103057
2103059 Sujeong 4(sa)-dong	32	2103059
2103060 Sujeong 5(o)-dong	20	2103060
2103065 Beomil 1(il)-dong	28	2103065
2103066 Beomil 2(i)-dong	84	2103066
2103067 Beomil 4(sa)-dong	39	2103067
2103068 Beomil 5(o)-dong	19	2103068
2103070 Jwacheon-dong	75	2103070
21040 Yeongdo-gu	1811	21040
2104053 Namhang-dong	449	2104053
2104054 Yeongseon 1(il)-dong	112	2104054
2104055 Yeongseon 2(i)-dong	104	2104055
2104059 Bongnae 1(il)-dong	110	2104059
2104063 Cheonghak 1(il)-dong	71	2104063
2104064 Cheonghak 2(i)-dong	209	2104064
2104065 Dongsam 1(il)-dong	342	2104065
2104066 Dongsam 2(i)-dong	169	2104066
2104067 Dongsam 3(sam)-dong	108	2104067
2104068 Sinseon-dong	58	2104068
2104069 Bongnae 2(i)-dong	79	2104069
21050 Busanjin-gu	2396	21050
2105052 Bujeon 2(i)-dong	142	2105052
2105054 Yeonji-dong	60	2105054
2105055 Choeup-dong	106	2105055
2105056 Yangjeong 1(il)-dong	80	2105056
2105057 Yangjeong 2(i)-dong	91	2105057
2105061 Jeonpo 2(i)-dong	184	2105061
2105064 Buam 1(il)-dong	103	2105064
2105066 Buam 3(sam)-dong	77	2105066
2105068 Danggam 2(i)-dong	49	2105068
2105070 Danggam 4(sa)-dong	68	2105070
2105072 Gaya 2(i)-dong	72	2105072
2105074 Gaegeum 1(il)-dong	120	2105074
2105075 Gaegeum 2(i)-dong	58	2105075
2105076 Gaegeum 3(sam)-dong	87	2105076
2105077 Beomcheon 1(il)-dong	92	2105077
2105078 Beomcheon 2(i)-dong	61	2105078
2105079 Beomcheon 4(sa)-dong	57	2105079
2105080 Danggam 1(il)-dong	153	2105080
2105081 Gaya 1(il)-dong	398	2105081
2105082 Bujeon 1(il)-dong	195	2105082
2105083 Jeonpo 1(il)-dong	143	2105083
21060 Dongnae-gu	1060	21060
2106051 Sumin-dong	123	2106051
2106052 Boksan-dong	42	2106052
2106055 Oncheon 1(il)-dong	209	2106055
2106056 Oncheon 2(i)-dong	81	2106056
2106057 Oncheon 3(sam)-dong	141	2106057
2106058 Sajik 1(il)-dong	47	2106058
2106059 Sajik 2(i)-dong	41	2106059
2106060 Sajik 3(sam)-dong	72	2106060
2106061 Allak 1(il)-dong	63	2106061
2106062 Allak 2(i)-dong	113	2106062
2106063 Myeongjang 1(il)-dong	37	2106063
2106064 Myeongjang 2(i)-dong	44	2106064
2106065 Myeongnyun-dong	47	2106065
21070 Nam-gu	3700	21070
2107053 Daeyeon 3(sam)-dong	1493	2107053
2107054 Daeyeon 4(sa)-dong	44	2107054
2107055 Daeyeon 5(o)-dong	163	2107055
2107056 Daeyeon 6(yuk)-dong	13	2107056
2107057 Yongho 1(il)-dong	420	2107057
2107058 Yongho 2(i)-dong	143	2107058
2107059 Yongho 3(sam)-dong	81	2107059
2107060 Yongho 4(sa)-dong	46	2107060
2107061 Yongdang-dong	335	2107061
2107062 Gamman 1(il)-dong	116	2107062
2107063 Gamman 2(i)-dong	58	2107063
2107066 Munhyeon 1(il)-dong	57	2107066
2107067 Munhyeon 2(i)-dong	61	2107067
2107068 Munhyeon 3(sam)-dong	81	2107068
2107069 Munhyeon 4(sa)-dong	54	2107069
2107070 Daeyeon 1(il)-dong	437	2107070
2107071 Uam-dong	98	2107071
21080 Buk-gu	1473	21080
2108051 Gupo 1(il)-dong	111	2108051
2108052 Gupo 2(i)-dong	174	2108052
2108053 Gupo 3(sam)-dong	320	2108053
2108054 Geumgok-dong	178	2108054
2108055 Hwamyeong 1(il)-dong	87	2108055
2108056 Deokcheon 1(il)-dong	96	2108056
2108057 Deokcheon 2(i)-dong	103	2108057
2108058 Deokcheon 3(sam)-dong	68	2108058
2108059 Mandeok 1(il)-dong	41	2108059
2108060 Mandeok 2(i)-dong	65	2108060
2108061 Mandeok 3(sam)-dong	42	2108061
2108062 Hwamyeong 2(i)-dong	76	2108062
2108063 Hwamyeong 3(sam)-dong	112	2108063
21090 Haeundae-gu	3991	21090
2109051 U 1(il)-dong	845	2109051
2109052 U 2(i)-dong	291	2109052
2109053 Jung 1(il)-dong	427	2109053
2109054 Jung 2(i)-dong	239	2109054
2109056 Songjeong-dong	93	2109056
2109058 Banyeo 2(i)-dong	86	2109058
2109059 Banyeo 3(sam)-dong	53	2109059
2109062 Bansong 2(i)-dong	183	2109062
2109064 Jaesong 1(il)-dong	194	2109064
2109065 Jaesong 2(i)-dong	121	2109065
2109066 Jwa 1(il)-dong	91	2109066
2109067 Jwa 2(i)-dong	237	2109067
2109068 Jwa 3(sam)-dong	96	2109068
2109069 Jwa 4(sa)-dong	75	2109069
2109070 Banyeo 1(il)-dong	166	2109070
2109071 Banyeo 4(sa)-dong	39	2109071
2109072 Bansong 1(il)-dong	755	2109072
21100 Saha-gu	4991	21100
2110051 Goejeong 1(il)-dong	107	2110051
2110052 Goejeong 2(i)-dong	100	2110052
2110053 Goejeong 3(sam)-dong	99	2110053
2110054 Goejeong 4(sa)-dong	91	2110054
2110055 Dangni-dong	130	2110055
2110056 Hadan 1(il)-dong	201	2110056
2110057 Hadan 2(i)-dong	426	2110057
2110058 Sinpyeong 1(il)-dong	459	2110058
2110059 Sinpyeong 2(i)-dong	522	2110059
2110060 Jangnim 1(il)-dong	803	2110060
2110061 Jangnim 2(i)-dong	438	2110061
2110062 Dadae 1(il)-dong	1029	2110062
2110063 Dadae 2(i)-dong	187	2110063
2110064 Gupyeong-dong	120	2110064
2110065 Gamcheon 1(il)-dong	230	2110065
2110066 Gamcheon 2(i)-dong	49	2110066
21110 Geumjeong-gu	3816	21110
2111051 Seo 1(il)-dong	35	2111051
2111052 Seo 2(i)-dong	54	2111052
2111055 Geumsa-dong	264	2111055
2111057 Bugok 1(il)-dong	62	2111057
2111058 Bugok 2(i)-dong	97	2111058
2111059 Bugok 3(sam)-dong	78	2111059
2111060 Bugok 4(sa)-dong	51	2111060
2111061 Jangjeon 1(il)-dong	1163	2111061
2111062 Jangjeon 2(i)-dong	613	2111062
2111063 Jangjeon 3(sam)-dong	116	2111063
2111064 Seondugu-dong	62	2111064
2111067 Cheongnyongnopo-dong	48	2111067
2111068 Namsan-dong	927	2111068
