id	population	place	location
1104057	203	Haengdang 2(i)-dong	1104057 Haengdang 2(i)-dong
1104058	107	Eungbong-dong	1104058 Eungbong-dong
1104059	127	Geumho 1(il)-ga-dong	1104059 Geumho 1(il)-ga-dong
1104062	287	Geumho 4(sa)-ga-dong	1104062 Geumho 4(sa)-ga-dong
1104065	437	Seongsu 1(il)-ga1(il)-dong	1104065 Seongsu 1(il)-ga1(il)-dong
1104066	622	Seongsu 1(il)-ga2(i)-dong	1104066 Seongsu 1(il)-ga2(i)-dong
1104067	1009	Seongsu 2(i)-ga1(il)-dong	1104067 Seongsu 2(i)-ga1(il)-dong
1104068	637	Seongsu 2(i)-ga 3(sam)-dong	1104068 Seongsu 2(i)-ga 3(sam)-dong
1104069	642	Songjeong-dong	1104069 Songjeong-dong
1104070	1453	Yongdap-dong	1104070 Yongdap-dong
1104071	467	WangsimniDoseon-dong	1104071 WangsimniDoseon-dong
1104072	328	Geumho 2早3(i早sam)-ga-dong	1104072 Geumho 2早3(i早sam)-ga-dong
1104073	433	Oksu-dong	1104073 Oksu-dong
11050	17206	Gwangjin-gu	11050 Gwangjin-gu
1105053	2659	Hwayang-dong	1105053 Hwayang-dong
1105054	1643	Gunja-dong	1105054 Gunja-dong
1105055	550	Junggok 1(il)-dong	1105055 Junggok 1(il)-dong
1105056	423	Junggok 2(i)-dong	1105056 Junggok 2(i)-dong
1105057	331	Junggok 3(sam)-dong	1105057 Junggok 3(sam)-dong
1105058	323	Junggok 4(sa)-dong	1105058 Junggok 4(sa)-dong
1105059	418	Neung-dong	1105059 Neung-dong
1105060	918	Guui 1(il)-dong	1105060 Guui 1(il)-dong
1105061	485	Guui 2(i)-dong	1105061 Guui 2(i)-dong
1105062	537	Guui 3(sam)-dong	1105062 Guui 3(sam)-dong
1105063	308	Gwangjang-dong	1105063 Gwangjang-dong
1105064	1495	Jayang 1(il)-dong	1105064 Jayang 1(il)-dong
1105065	471	Jayang 2(i)-dong	1105065 Jayang 2(i)-dong
1105066	527	Jayang 3(sam)-dong	1105066 Jayang 3(sam)-dong
1105067	6118	Jayang 4(sa)-dong	1105067 Jayang 4(sa)-dong
11060	14830	Dongdaemun-gu	11060 Dongdaemun-gu
1106071	1755	Hoegi-dong	1106071 Hoegi-dong
1106072	1226	Hwigyeong 1(il)-dong	1106072 Hwigyeong 1(il)-dong
1106073	530	Hwigyeong 2(i)-dong	1106073 Hwigyeong 2(i)-dong
1106080	953	Cheongnyangni-dong	1106080 Cheongnyangni-dong
1106081	1906	Yongsin-dong	1106081 Yongsin-dong
1106082	1833	Jegi-dong	1106082 Jegi-dong
1106083	523	Jeonnong 1(il)-dong	1106083 Jeonnong 1(il)-dong
1106084	706	Jeonnong 2(i)-dong	1106084 Jeonnong 2(i)-dong
1106086	417	Dapsimni 2(i)-dong	1106086 Dapsimni 2(i)-dong
1106087	711	Jangan 1(il)-dong	1106087 Jangan 1(il)-dong
1106088	403	Jangan 2(i)-dong	1106088 Jangan 2(i)-dong
1106089	2859	Imun 1(il)-dong	1106089 Imun 1(il)-dong
1106090	508	Imun 2(i)-dong	1106090 Imun 2(i)-dong
1106091	500	Dapsimni 1(il)-dong	1106091 Dapsimni 1(il)-dong
11070	5750	Jungnang-gu	11070 Jungnang-gu
1107052	451	Myeonmok 2(i)-dong	1107052 Myeonmok 2(i)-dong
1107054	327	Myeonmok 4(sa)-dong	1107054 Myeonmok 4(sa)-dong
1107055	167	Myeonmok 5(o)-dong	1107055 Myeonmok 5(o)-dong
1107057	372	Myeonmok 7(chil)-dong	1107057 Myeonmok 7(chil)-dong
1107059	195	Sangbong 1(il)-dong	1107059 Sangbong 1(il)-dong
1107060	480	Sangbong 2(i)-dong	1107060 Sangbong 2(i)-dong
1107061	188	Junghwa 1(il)-dong	1107061 Junghwa 1(il)-dong
1107062	844	Junghwa 2(i)-dong	1107062 Junghwa 2(i)-dong
1107064	225	Muk 1(il)-dong	1107064 Muk 1(il)-dong
1107065	228	Muk 2(i)-dong	1107065 Muk 2(i)-dong
1107068	242	Mangu 3(sam)-dong	1107068 Mangu 3(sam)-dong
1107069	167	Sinnae 1(il)-dong	1107069 Sinnae 1(il)-dong
1107070	124	Sinnae 2(i)-dong	1107070 Sinnae 2(i)-dong
1107071	861	Myeonmokbon-dong	1107071 Myeonmokbon-dong
1107072	445	Myeonmok 3早8(sam早pal)-dong	1107072 Myeonmok 3早8(sam早pal)-dong
1107073	434	Mangubon-dong	1107073 Mangubon-dong
11080	11134	Seongbuk-gu	11080 Seongbuk-gu
1108058	198	Donam 1(il)-dong	1108058 Donam 1(il)-dong
1108059	172	Donam 2(i)-dong	1108059 Donam 2(i)-dong
1108060	1859	Anam-dong	1108060 Anam-dong
1108061	409	Bomun-dong	1108061 Bomun-dong
1108062	201	Jeongneung 1(il)-dong	1108062 Jeongneung 1(il)-dong
1108063	190	Jeongneung 2(i)-dong	1108063 Jeongneung 2(i)-dong
1108064	1181	Jeongneung 3(sam)-dong	1108064 Jeongneung 3(sam)-dong
1108065	356	Jeongneung 4(sa)-dong	1108065 Jeongneung 4(sa)-dong
1108066	242	Gireum 1(il)-dong	1108066 Gireum 1(il)-dong
1108068	264	Gireum 2(i)-dong	1108068 Gireum 2(i)-dong
1108071	270	Wolgok 1(il)-dong	1108071 Wolgok 1(il)-dong
1108072	593	Wolgok 2(i)-dong	1108072 Wolgok 2(i)-dong
1108076	262	Jangwi 1(il)-dong	1108076 Jangwi 1(il)-dong
1108077	339	Jangwi 2(i)-dong	1108077 Jangwi 2(i)-dong
1108078	331	Jangwi 3(sam)-dong	1108078 Jangwi 3(sam)-dong
1108081	605	Seongbuk-dong	1108081 Seongbuk-dong
1108082	542	Samseon-dong	1108082 Samseon-dong
1108083	774	Dongseon-dong	1108083 Dongseon-dong
1108084	1460	Jongam-dong	1108084 Jongam-dong
1108085	886	Seokgwan-dong	1108085 Seokgwan-dong
11090	4238	Gangbuk-gu	11090 Gangbuk-gu
1109060	398	Beon 1(il)-dong	1109060 Beon 1(il)-dong
1109061	166	Beon 2(i)-dong	1109061 Beon 2(i)-dong
1109062	96	Beon 3(sam)-dong	1109062 Beon 3(sam)-dong
1109063	268	Suyu 1(il)-dong	1109063 Suyu 1(il)-dong
1109064	182	Suyu 2(i)-dong	1109064 Suyu 2(i)-dong
1109065	430	Suyu 3(sam)-dong	1109065 Suyu 3(sam)-dong
1109069	289	Samyang-dong	1109069 Samyang-dong
1109070	469	Mia-dong	1109070 Mia-dong
1109071	642	Songjung-dong	1109071 Songjung-dong
1109072	619	Songcheon-dong	1109072 Songcheon-dong
1109073	188	Samgaksan-dong	1109073 Samgaksan-dong
1109074	185	Ui-dong	1109074 Ui-dong
1109075	306	Insu-dong	1109075 Insu-dong
11100	2554	Dobong-gu	11100 Dobong-gu
1110051	216	Ssangmun 1(il)-dong	1110051 Ssangmun 1(il)-dong
1110052	171	Ssangmun 2(i)-dong	1110052 Ssangmun 2(i)-dong
1110053	201	Ssangmun 3(sam)-dong	1110053 Ssangmun 3(sam)-dong
1110054	77	Ssangmun 4(sa)-dong	1110054 Ssangmun 4(sa)-dong
1110055	297	Banghak 1(il)-dong	1110055 Banghak 1(il)-dong
1110056	261	Banghak 2(i)-dong	1110056 Banghak 2(i)-dong
1110057	88	Banghak 3(sam)-dong	1110057 Banghak 3(sam)-dong
1110059	201	Chang 1(il)-dong	1110059 Chang 1(il)-dong
1110060	283	Chang 2(i)-dong	1110060 Chang 2(i)-dong
1110061	151	Chang 3(sam)-dong	1110061 Chang 3(sam)-dong
1110062	105	Chang 4(sa)-dong	1110062 Chang 4(sa)-dong
1110063	164	Chang 5(o)-dong	1110063 Chang 5(o)-dong
1110064	194	Dobong 1(il)-dong	1110064 Dobong 1(il)-dong
1110065	145	Dobong 2(i)-dong	1110065 Dobong 2(i)-dong
11110	4726	Nowon-gu	11110 Nowon-gu
1111051	406	Wolgye 1(il)-dong	1111051 Wolgye 1(il)-dong
1111052	305	Wolgye 2(i)-dong	1111052 Wolgye 2(i)-dong
1111053	205	Wolgye 3(sam)-dong	1111053 Wolgye 3(sam)-dong
1111056	988	Gongneung 2(i)-dong	1111056 Gongneung 2(i)-dong
1111058	481	Hagye 1(il)-dong	1111058 Hagye 1(il)-dong
1111059	72	Hagye 2(i)-dong	1111059 Hagye 2(i)-dong
1111060	105	Junggyebon-dong	1111060 Junggyebon-dong
1111061	128	Junggye 1(il)-dong	1111061 Junggye 1(il)-dong
1111064	99	Junggye 4(sa)-dong	1111064 Junggye 4(sa)-dong
1111065	207	Sanggye 1(il)-dong	1111065 Sanggye 1(il)-dong
1111066	187	Sanggye 2(i)-dong	1111066 Sanggye 2(i)-dong
1111069	202	Sanggye 5(o)-dong	1111069 Sanggye 5(o)-dong
1111072	51	Sanggye 8(pal)-dong	1111072 Sanggye 8(pal)-dong
1111073	90	Sanggye 9(gu)-dong	1111073 Sanggye 9(gu)-dong
1111074	90	Sanggye 10(sip)-dong	1111074 Sanggye 10(sip)-dong
1111076	236	Sanggye 3早4(sam早sa)-dong	1111076 Sanggye 3早4(sam早sa)-dong
1111077	234	Sanggye 6早7(yuk早chil)-dong	1111077 Sanggye 6早7(yuk早chil)-dong
1111078	232	Junggye 2早3(i早sam)-dong	1111078 Junggye 2早3(i早sam)-dong
1111079	408	Gongneung 1(il)-dong	1111079 Gongneung 1(il)-dong
11120	5599	Eunpyeong-gu	11120 Eunpyeong-gu
1112051	532	Nokbeon-dong	1112051 Nokbeon-dong
1112052	509	Bulgwang 1(il)-dong	1112052 Bulgwang 1(il)-dong
1112055	288	Galhyeon 1(il)-dong	1112055 Galhyeon 1(il)-dong
1112056	400	Galhyeon 2(i)-dong	1112056 Galhyeon 2(i)-dong
1112057	291	Gusan-dong	1112057 Gusan-dong
1112058	503	Daejo-dong	1112058 Daejo-dong
1112059	363	Eungam 1(il)-dong	1112059 Eungam 1(il)-dong
1112060	276	Eungam 2(i)-dong	1112060 Eungam 2(i)-dong
1112065	258	Sinsa 1(il)-dong	1112065 Sinsa 1(il)-dong
1112066	169	Sinsa 2(i)-dong	1112066 Sinsa 2(i)-dong
1112067	214	Jeungsan-dong	1112067 Jeungsan-dong
1112068	245	Susaek-dong	1112068 Susaek-dong
1112071	292	Jingwan-dong	1112071 Jingwan-dong
1112072	391	Bulgwang 2(i)-dong	1112072 Bulgwang 2(i)-dong
1112073	366	Eungam 3(sam)-dong	1112073 Eungam 3(sam)-dong
1112074	502	Yeokchon-dong	1112074 Yeokchon-dong
11130	11007	Seodaemun-gu	11130 Seodaemun-gu
1113052	304	Cheonyeon-dong	1113052 Cheonyeon-dong
1113062	382	Hongje 1(il)-dong	1113062 Hongje 1(il)-dong
1113064	285	Hongje 3(sam)-dong	1113064 Hongje 3(sam)-dong
1113065	202	Hongje 2(i)-dong	1113065 Hongje 2(i)-dong
1113066	305	Hongeun 1(il)-dong	1113066 Hongeun 1(il)-dong
1113068	656	Hongeun 2(i)-dong	1113068 Hongeun 2(i)-dong
1113069	45	Namgajwa 1(il)-dong	1113069 Namgajwa 1(il)-dong
1113070	834	Namgajwa 2(i)-dong	1113070 Namgajwa 2(i)-dong
1113071	247	Bukgajwa 1(il)-dong	1113071 Bukgajwa 1(il)-dong
1113072	365	Bukgajwa 2(i)-dong	1113072 Bukgajwa 2(i)-dong
1113073	473	Chunghyeon-dong	1113073 Chunghyeon-dong
1113074	304	Bugahyeon-dong	1113074 Bugahyeon-dong
1113075	3998	Sinchon-dong	1113075 Sinchon-dong
1113076	2607	Yeonhui-dong	1113076 Yeonhui-dong
11140	11455	Mapo-gu	11140 Mapo-gu
1114059	464	Yonggang-dong	1114059 Yonggang-dong
1114060	1978	Daeheung-dong	1114060 Daeheung-dong
1114061	1025	Yeomni-dong	1114061 Yeomni-dong
1114063	418	Sinsu-dong	1114063 Sinsu-dong
1114066	1444	Seogyo-dong	1114066 Seogyo-dong
1114068	490	Hapjeong-dong	1114068 Hapjeong-dong
1114069	519	Mangwon 1(il)-dong	1114069 Mangwon 1(il)-dong
1114070	232	Mangwon 2(i)-dong	1114070 Mangwon 2(i)-dong
1114071	995	Yeonnam-dong	1114071 Yeonnam-dong
1114072	484	Seongsan 1(il)-dong	1114072 Seongsan 1(il)-dong
1114073	284	Seongsan 2(i)-dong	1114073 Seongsan 2(i)-dong
1114074	515	Sangam-dong	1114074 Sangam-dong
1114075	362	Dohwa-dong	1114075 Dohwa-dong
1114076	712	Seogang-dong	1114076 Seogang-dong
1114077	865	gongdeok-dong	1114077 gongdeok-dong
1114078	668	Ahyeon-dong	1114078 Ahyeon-dong
11150	5847	Yangcheon-gu	11150 Yangcheon-gu
1115051	246	Mok 1(il)-dong	1115051 Mok 1(il)-dong
1115052	322	Mok 2(i)-dong	1115052 Mok 2(i)-dong
1115053	236	Mok 3(sam)-dong	1115053 Mok 3(sam)-dong
1115054	226	Mok 4(sa)-dong	1115054 Mok 4(sa)-dong
1115057	425	Sinwol 1(il)-dong	1115057 Sinwol 1(il)-dong
1115058	265	Sinwol 2(i)-dong	1115058 Sinwol 2(i)-dong
1115059	344	Sinwol 3(sam)-dong	1115059 Sinwol 3(sam)-dong
1115060	118	Sinwol 4(sa)-dong	1115060 Sinwol 4(sa)-dong
1115061	175	Sinwol 5(o)-dong	1115061 Sinwol 5(o)-dong
1115062	96	Sinwol 6(yuk)-dong	1115062 Sinwol 6(yuk)-dong
1115063	204	Sinwol 7(chil)-dong	1115063 Sinwol 7(chil)-dong
1115064	181	Sinjeong 1(il)-dong	1115064 Sinjeong 1(il)-dong
1115065	180	Sinjeong 2(i)-dong	1115065 Sinjeong 2(i)-dong
1115066	1400	Sinjeong 3(sam)-dong	1115066 Sinjeong 3(sam)-dong
1115069	89	Sinjeong 6(yuk)-dong	1115069 Sinjeong 6(yuk)-dong
1115070	299	Sinjeong 7(chil)-dong	1115070 Sinjeong 7(chil)-dong
1115071	203	Mok 5(o)-dong	1115071 Mok 5(o)-dong
1115072	838	Sinjeong 4(sa)-dong	1115072 Sinjeong 4(sa)-dong
11160	8039	Gangseo-gu	11160 Gangseo-gu
1116051	218	Yeomchang-dong	1116051 Yeomchang-dong
1116052	246	Deungchon 1(il)-dong	1116052 Deungchon 1(il)-dong
1116053	160	Deungchon 2(i)-dong	1116053 Deungchon 2(i)-dong
1116054	279	Deungchon 3(sam)-dong	1116054 Deungchon 3(sam)-dong
1116055	548	Hwagokbon-dong	1116055 Hwagokbon-dong
1116057	355	Hwagok 2(i)-dong	1116057 Hwagok 2(i)-dong
1116058	258	Hwagok 3(sam)-dong	1116058 Hwagok 3(sam)-dong
1116059	459	Hwagok 4(sa)-dong	1116059 Hwagok 4(sa)-dong
1116061	355	Hwagok 6(yuk)-dong	1116061 Hwagok 6(yuk)-dong
1116063	551	Hwagok 8(pal)-dong	1116063 Hwagok 8(pal)-dong
1116064	171	Gayang 1(il)-dong	1116064 Gayang 1(il)-dong
1116065	206	Gayang 2(i)-dong	1116065 Gayang 2(i)-dong
1116066	215	Gayang 3(sam)-dong	1116066 Gayang 3(sam)-dong
1116067	220	Balsan 1(il)-dong	1116067 Balsan 1(il)-dong
1116069	1112	Gonghang-dong	1116069 Gonghang-dong
1116070	437	Banghwa 1(il)-dong	1116070 Banghwa 1(il)-dong
1116071	421	Banghwa 2(i)-dong	1116071 Banghwa 2(i)-dong
1116072	241	Banghwa 3(sam)-dong	1116072 Banghwa 3(sam)-dong
1116073	1267	Hwagok 1(il)-dong	1116073 Hwagok 1(il)-dong
1116074	320	Ujangsan-dong	1116074 Ujangsan-dong
11170	39461	Guro-gu	11170 Guro-gu
1117051	442	Sindorim-dong	1117051 Sindorim-dong
1117052	135	Guro 1(il)-dong	1117052 Guro 1(il)-dong
1117054	1695	Guro 3(sam)-dong	1117054 Guro 3(sam)-dong
1117055	6708	Guro 4(sa)-dong	1117055 Guro 4(sa)-dong
1117056	4666	Guro 5(o)-dong	1117056 Guro 5(o)-dong
1117061	440	Gocheok 1(il)-dong	1117061 Gocheok 1(il)-dong
1117062	713	Gocheok 2(i)-dong	1117062 Gocheok 2(i)-dong
1117064	548	Gaebong 2(i)-dong	1117064 Gaebong 2(i)-dong
1117065	470	Gaebong 3(sam)-dong	1117065 Gaebong 3(sam)-dong
1117067	784	Oryu 1(il)-dong	1117067 Oryu 1(il)-dong
1117068	948	Oryu 2(i)-dong	1117068 Oryu 2(i)-dong
1117069	354	Sugung-dong	1117069 Sugung-dong
1117070	9239	Garibong-dong	1117070 Garibong-dong
1117071	11166	Guro 2(i)-dong	1117071 Guro 2(i)-dong
1117072	1153	Gaebong 1(il)-dong	1117072 Gaebong 1(il)-dong
11180	24792	Geumcheon-gu	11180 Geumcheon-gu
1118051	5199	Gasan-dong	1118051 Gasan-dong
1118052	3099	Doksan 1(il)-dong	1118052 Doksan 1(il)-dong
1118053	2343	Doksan 2(i)-dong	1118053 Doksan 2(i)-dong
1118054	6523	Doksan 3(sam)-dong	1118054 Doksan 3(sam)-dong
1118055	2456	Doksan 4(sa)-dong	1118055 Doksan 4(sa)-dong
1118057	2947	Siheung 1(il)-dong	1118057 Siheung 1(il)-dong
1118058	188	Siheung 2(i)-dong	1118058 Siheung 2(i)-dong
1118059	268	Siheung 3(sam)-dong	1118059 Siheung 3(sam)-dong
1118060	950	Siheung 4(sa)-dong	1118060 Siheung 4(sa)-dong
1118061	819	Siheung 5(o)-dong	1118061 Siheung 5(o)-dong
11190	49044	Yeongdeungpo-gu	11190 Yeongdeungpo-gu
1119054	713	Yeoui-dong	1119054 Yeoui-dong
1119055	791	Dangsan 1(il)-dong	1119055 Dangsan 1(il)-dong
1119056	625	Dangsan  2(i)-dong	1119056 Dangsan  2(i)-dong
1119061	392	Yangpyeong 1(il)-dong	1119061 Yangpyeong 1(il)-dong
1119062	321	Yangpyeong 2(i)-dong	1119062 Yangpyeong 2(i)-dong
1119063	3072	Singil 1(il)-dong	1119063 Singil 1(il)-dong
1119065	1951	Singil 3(sam)-dong	1119065 Singil 3(sam)-dong
1119066	1899	Singil 4(sa)-dong	1119066 Singil 4(sa)-dong
1119067	3418	Singil 5(o)-dong	1119067 Singil 5(o)-dong
1119068	2698	Singil 6(yuk)-dong	1119068 Singil 6(yuk)-dong
1119069	538	Singil 7(chil)-dong	1119069 Singil 7(chil)-dong
1119070	4343	Daerim 1(il)-dong	1119070 Daerim 1(il)-dong
1119071	12522	Daerim 2(i)-dong	1119071 Daerim 2(i)-dong
1119072	6247	Daerim 3(sam)-dong	1119072 Daerim 3(sam)-dong
1119073	4087	Yeongdeungpobon-dong	1119073 Yeongdeungpobon-dong
1119074	634	Yeongdeungpo-dong	1119074 Yeongdeungpo-dong
1119075	4484	Dorim-dong	1119075 Dorim-dong
1119076	309	Mullae-dong	1119076 Mullae-dong
11200	14925	Dongjak-gu	11200 Dongjak-gu
1120052	1496	Noryangjin 2(i)-dong	1120052 Noryangjin 2(i)-dong
1120053	1397	Sangdo 1(il)-dong	1120053 Sangdo 1(il)-dong
1120054	491	Sangdo 2(i)-dong	1120054 Sangdo 2(i)-dong
1120055	559	Sangdo 3(sam)-dong	1120055 Sangdo 3(sam)-dong
1120056	549	Sangdo 4(sa)-dong	1120056 Sangdo 4(sa)-dong
1120063	1055	Sadang 1(il)-dong	1120063 Sadang 1(il)-dong
1120065	448	Sadang 3(sam)-dong	1120065 Sadang 3(sam)-dong
1120066	247	Sadang 4(sa)-dong	1120066 Sadang 4(sa)-dong
1120067	205	Sadang 5(o)-dong	1120067 Sadang 5(o)-dong
1120068	613	Daebang-dong	1120068 Daebang-dong
1120069	3966	Sindaebang 1(il)-dong	1120069 Sindaebang 1(il)-dong
1120070	519	Sindaebang 2(i)-dong	1120070 Sindaebang 2(i)-dong
1120071	2086	Heukseok-dong	1120071 Heukseok-dong
1120072	455	Noryangjin 1(il)-dong	1120072 Noryangjin 1(il)-dong
1120073	839	Sadang 2(i)-dong	1120073 Sadang 2(i)-dong
11210	24022	Gwanak-gu	11210 Gwanak-gu
1121052	795	Boramae-dong	1121052 Boramae-dong
1121054	190	Cheongnim-dong	1121054 Cheongnim-dong
1121057	740	Haengun-dong	1121057 Haengun-dong
1121058	1918	Nagseongdae-dong	1121058 Nagseongdae-dong
1121061	754	Jungang-dong	1121061 Jungang-dong
1121062	505	Inheon-dong	1121062 Inheon-dong
1121063	374	Namhyeon-dong	1121063 Namhyeon-dong
1121064	1044	Sewon-dong	1121064 Sewon-dong
1121065	1996	Sinwon-dong	1121065 Sinwon-dong
1121066	786	Serim-dong	1121066 Serim-dong
1121068	4326	Sinsa-dong	1121068 Sinsa-dong
1121069	971	Sillim-dong	1121069 Sillim-dong
1121071	162	Nanhyang-dong	1121071 Nanhyang-dong
1121072	3329	Jowon-dong	1121072 Jowon-dong
1121073	771	Daehak-dong	1121073 Daehak-dong
1121078	1060	Euncheon-dong	1121078 Euncheon-dong
1121079	315	Seonghyeon-dong	1121079 Seonghyeon-dong
1121080	2259	Cheongnyong-dong	1121080 Cheongnyong-dong
1121081	618	Nangok-dong	1121081 Nangok-dong
1121082	294	Samseong-dong	1121082 Samseong-dong
1121083	815	Miseong-dong	1121083 Miseong-dong
11220	7109	Seocho-gu	11220 Seocho-gu
1122051	409	Seocho 1(il)-dong	1122051 Seocho 1(il)-dong
1122052	488	Seocho 2(i)-dong	1122052 Seocho 2(i)-dong
1122053	610	Seocho 3(sam)-dong	1122053 Seocho 3(sam)-dong
1122054	467	Seocho 4(sa)-dong	1122054 Seocho 4(sa)-dong
1122055	500	Jamwon-dong	1122055 Jamwon-dong
1122056	104	Banpobon-dong	1122056 Banpobon-dong
1122057	595	Banpo 1(il)-dong	1122057 Banpo 1(il)-dong
1122058	192	Banpo 2(i)-dong	1122058 Banpo 2(i)-dong
1122059	169	Banpo 3(sam)-dong	1122059 Banpo 3(sam)-dong
1122060	634	Banpo 4(sa)-dong	1122060 Banpo 4(sa)-dong
1122061	362	Bangbaebon-dong	1122061 Bangbaebon-dong
1122062	264	Bangbae 1(il)-dong	1122062 Bangbae 1(il)-dong
1122063	393	Bangbae 2(i)-dong	1122063 Bangbae 2(i)-dong
1122064	319	Bangbae 3(sam)-dong	1122064 Bangbae 3(sam)-dong
1122065	470	Bangbae 4(sa)-dong	1122065 Bangbae 4(sa)-dong
1122066	621	Yangjae 1(il)-dong	1122066 Yangjae 1(il)-dong
1122067	347	Yangjae 2(i)-dong	1122067 Yangjae 2(i)-dong
1122068	165	Naegok-dong	1122068 Naegok-dong
11230	8627	Gangnam-gu	11230 Gangnam-gu
1123051	439	Sinsa-dong	1123051 Sinsa-dong
1123052	684	Nonhyeon 1(il)-dong	1123052 Nonhyeon 1(il)-dong
1123053	499	Nonhyeon 2(i)-dong	1123053 Nonhyeon 2(i)-dong
1123058	410	Samseong 1(il)-dong	1123058 Samseong 1(il)-dong
1123059	462	Samseong 2(i)-dong	1123059 Samseong 2(i)-dong
1123060	122	Daechi 1(il)-dong	1123060 Daechi 1(il)-dong
1123063	456	Daechi 4(sa)-dong	1123063 Daechi 4(sa)-dong
1123064	1146	Yeoksam 1(il)-dong	1123064 Yeoksam 1(il)-dong
1123065	522	Yeoksam 2(i)-dong	1123065 Yeoksam 2(i)-dong
1123066	253	Dogok 1(il)-dong	1123066 Dogok 1(il)-dong
1123067	459	Dogok 2(i)-dong	1123067 Dogok 2(i)-dong
1123068	141	Gaepo 1(il)-dong	1123068 Gaepo 1(il)-dong
1123071	263	Gaepo 4(sa)-dong	1123071 Gaepo 4(sa)-dong
1123072	156	Irwonbon-dong	1123072 Irwonbon-dong
1123073	232	Irwon 1(il)-dong	1123073 Irwon 1(il)-dong
1123074	130	Irwon 2(i)-dong	1123074 Irwon 2(i)-dong
1123075	169	Suseo-dong	1123075 Suseo-dong
1123076	267	Segok-dong	1123076 Segok-dong
1123077	618	Apgujeong-dong	1123077 Apgujeong-dong
1123078	630	Cheongdam-dong	1123078 Cheongdam-dong
1123079	434	Daechi 2(i)-dong	1123079 Daechi 2(i)-dong
1123080	135	Gaepo 2(i)-dong	1123080 Gaepo 2(i)-dong
11240	9746	Songpa-gu	11240 Songpa-gu
